ID;Nombre_Establecimiento;Población_Objetivo;Tipo_de_establecimiento;Gestión;Domicilio;Localidad;Departamento;Provincia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1;Cooperativa De Trabajo Sueños En Barrilete Ltda. (Infancia);Infancias;Centros Integradores Comunitarios;INAES;General Roca N° 996;TANDIL;Tandil;Buenos Aires;;;;;;;;;;;;;;;;
2;Cooperativa De Trabajo La Morita Ltda. (Infancia - Jardin Cooperativo L@S Angelit@S);Infancias;Centros Integradores Comunitarios;INAES;Isla Trinidad N° 728;ESTEBAN ECHEVERRIA;Esteban Echeverría;Buenos Aires;;;;;;;;;;;;;;;;
3;Cooperativa de Trabajo Privilegiados Los Niños Limitada;Infancias;Centros Integradores Comunitarios;Provincia de Santa Fé;Buenos Aires 711;ROSARIO;Rosario;Santa Fe;;;;;;;;;;;;;;;;
4;Centro Integrador Comunitario;Infancias;Centros Integradores Comunitarios;Ministerio de desarrollo social;113 Bis 601 Y 12 Bis;OLAVARRIA;Olavarría;Buenos Aires;;;;;;;;;;;;;;;;
5;Instituto Privado Escuela Evangelica William C. Morris;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Suárez 684 Boca;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
6;Instituto San Cayetano;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Vidal 1743 Belgrano;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
7;Instituto Nuestra Señora Del Rosario;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ciudad De La Paz 1839 Belgrano;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
8;Instituto Ntra Señora De Lujan De Los Patriotas;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avda. Emilio Castro 7142 Mataderos;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
9;Escuela De La Aldea;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Nuñez 2776 Nuñez;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
10;Jardin Infantes A.B.C.;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Superi 2132 Belgrano;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
11;Instituto Bet-El;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Conde 1860 Belgrano;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
12;Instituto San Pedro;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Benito Quinquela Martin 1151 Boca;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
13;Colegio Las Cumbres;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Guido 1880 Recoleta;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
14;Instituto Constanza Ramos Mejia De Bunge;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Paraguay 1252 Retiro;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
15;Inst. Colegio San Tarsicio;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Juncal 2623 Recoleta;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
16;Jardin De Infantes El Centavo;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Juncal 1264 Retiro;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
