codprov_censo;coddepto_censo;nomdepto_censo;name_prov;cod_uni;pob_total_depto;varones_total_depto;mujeres_total_depto;pob_total_depto40;grupo_infancias_1;grupo_infancias_2;total_grupo_depto_Infancias;total_grupo_depto_Centrales;total_grupo_depto_PAM;varones_grupo_depto_Infancias;varones_grupo_depto_Centrales;varones_grupo_depto_PAM;mujeres_grupo_depto_Infancias;mujeres_grupo_depto_Centrales;mujeres_grupo_depto_PAM;prop_grupo_depto22_Infancias;prop_grupo_depto22_Centrales;prop_grupo_depto22_PAM;Coef_proyección_2040;grupo_infancias_1_2040;grupo_infancias_2_2040;total_grupo_depto40_Infancias;total_grupo_depto40_Centrales;total_grupo_depto40_PAM;prop_grupo_depto40_Infancias;prop_grupo_depto40_Centrales;prop_grupo_depto40_PAM;Diferencia Infancias (en pp);Diferencia PAM (en pp);tipo_dif_PI;tipo_dif_PM;combinacion_dif;cambio;Demanda PI 2022;Demanda PI 2040;Demanda PAM 2022;Demanda PAM 2040
2;1;COMUNA 01;CABA;2001;223.094;106.003;117.091;219.502;5.386;4.420;9.806;171.110;42.178;4.930;83.588;17.485;4.876;8752200,00%;2469300,00%;4,40%;1;0;1;467100,00%;383300,00%;850400,00%;159.820;51.178;3,87%;72,81%;23,32%;-0,52;4,41;B;I;BI;PM_PM;8157,884;7074,578;4006,91;4861,925
2;2;COMUNA 02;CABA;2002;161.608;70.544;91.064;163.323;3.099;2.287;5.386;114.771;41.451;2.708;52.363;15.473;2.678;6240800,00%;2597800,00%;3,33%;1;0;1;268700,00%;198300,00%;467100,00%;108.198;50.455;2,86%;66,25%;30,89%;-0,47;5,24;B;I;BI;PM_PM;4437,706;3848,412;3937,845;4793,18
2;3;COMUNA 03;CABA;2003;195.992;90.225;105.767;194.754;4.047;3.343;7.390;146.251;42.351;3.741;70.498;15.986;3.649;7575300,00%;2636500,00%;3,77%;1;0;1;351000,00%;289900,00%;640900,00%;136.948;51.398;3,29%;70,32%;26,39%;-0,48;4,78;B;I;BI;PM_PM;6151,618;5334,729;4023,345;4882,765
2;4;COMUNA 04;CABA;2004;228.620;107.841;120.779;223.916;5.743;5.212;10.955;174.968;42.697;5.596;85.088;17.157;5.359;8988000,00%;2554000,00%;4,79%;1;0;1;498000,00%;452000,00%;950000,00%;162.627;51.788;4,24%;72,63%;23,13%;-0,55;4,45;B;I;BI;PM_PM;9197,642;7976,264;4056,215;4919,875
2;5;COMUNA 05;CABA;2005;194.261;88.071;106.190;194.119;3.679;3.009;6.688;141.217;46.356;3.373;67.040;17.658;3.315;7417700,00%;2869800,00%;3,44%;1;0;1;319000,00%;260900,00%;580000,00%;132.039;56.280;2,99%;68,02%;28,99%;-0,45;5,13;B;I;BI;PM_PM;5562,226;4823,604;4403,82;5346,558
2;6;COMUNA 06;CABA;2006;203.001;91.329;111.672;203.847;4.026;3.304;7.330;143.083;52.588;3.621;67.382;20.326;3.709;7570100,00%;3226200,00%;3,61%;1;0;1;349100,00%;286500,00%;635700,00%;133.651;63.840;3,12%;65,56%;31,32%;-0,49;5,41;B;I;BI;PM_PM;6098,044;5288,27;4995,86;6064,774
2;7;COMUNA 07;CABA;2007;215.628;100.053;115.575;215.633;4.660;3.886;8.546;155.087;51.995;4.392;75.073;20.588;4.154;8001400,00%;3140700,00%;3,96%;1;0;1;404100,00%;337000,00%;741100,00%;144.992;63.230;3,44%;67,24%;29,32%;-0,53;5,21;B;I;BI;PM_PM;7120,04;6174,552;4939,525;6006,818
2;8;COMUNA 08;CABA;2008;204.069;96.888;107.181;197.034;6.127;5.412;11.539;161.720;30.810;5.971;78.505;12.412;5.568;8321500,00%;1839800,00%;5,65%;1;0;1;531300,00%;469300,00%;1000700,00%;149.700;37.327;5,08%;75,98%;18,94%;-0,58;3,85;B;B;BB;nini;9664,138;8380,813;2926,95;3546,087
2;9;COMUNA 09;CABA;2009;169.038;79.782;89.256;168.568;3.562;3.229;6.791;123.018;39.229;3.509;60.485;15.788;3.282;6253300,00%;2344100,00%;4,02%;1;0;1;308900,00%;280000,00%;588900,00%;115.070;47.608;3,49%;68,26%;28,24%;-0,52;5,04;B;I;BI;PM_PM;5701,028;4943,974;3726,755;4522,775
2;10;COMUNA 10;CABA;2010;172.932;80.686;92.246;173.654;3.513;3.003;6.516;122.360;44.056;3.381;59.656;17.649;3.135;6270400,00%;2640700,00%;3,77%;1;0;1;304700,00%;260400,00%;565100,00%;114.555;53.448;3,25%;65,97%;30,78%;-0,51;5,3;B;I;BI;PM_PM;5441,022;4718,495;4185,32;5077,586
2;11;COMUNA 11;CABA;2011;204.590;95.558;109.032;205.601;3.994;3.428;7.422;144.876;52.292;3.828;70.628;21.102;3.594;7424800,00%;3119000,00%;3,63%;1;0;1;346400,00%;297300,00%;643600,00%;135.709;63.455;3,13%;66,01%;30,86%;-0,5;5,3;B;I;BI;PM_PM;6199,836;5376,545;4967,74;6028,258
2;12;COMUNA 12;CABA;2012;236.869;109.657;127.212;235.557;5.268;4.200;9.468;171.058;56.343;4.796;82.348;22.513;4.672;8871000,00%;3383000,00%;4,00%;1;0;1;456800,00%;364200,00%;821100,00%;158.974;68.372;3,49%;67,49%;29,03%;-0,51;5,24;B;I;BI;PM_PM;7855,992;6812,775;5352,585;6495,355
2;13;COMUNA 13;CABA;2013;264.225;119.121;145.104;266.078;5.514;4.197;9.711;185.942;68.572;4.813;87.786;26.522;4.898;9815600,00%;4205000,00%;3,68%;1;0;1;478200,00%;364000,00%;842100,00%;174.297;83.360;3,17%;65,51%;31,33%;-0,51;5,38;B;I;BI;PM_PM;8023,716;6958,227;6514,34;7919,177
2;14;COMUNA 14;CABA;2014;248.552;111.151;137.401;249.360;5.237;3.687;8.924;178.723;60.905;4.479;83.210;23.462;4.445;9551300,00%;3744300,00%;3,59%;1;0;1;454200,00%;319700,00%;773900,00%;167.685;73.936;3,10%;67,25%;29,65%;-0,49;5,15;B;I;BI;PM_PM;7321,478;6349,241;5785,975;7023,904
2;15;COMUNA 15;CABA;2015;196.825;91.088;105.737;195.368;4.064;3.484;7.548;145.190;44.087;3.907;69.948;17.233;3.641;7524200,00%;2685400,00%;3,83%;1;0;1;352400,00%;302100,00%;654600,00%;135.308;53.515;3,35%;69,26%;27,39%;-0,48;4,99;B;I;BI;PM_PM;6304,416;5467,237;4188,265;5083,884
6;7;ADOLFO ALSINA;BUENOS AIRES;6007;17.552;8.714;8.838;20.701;563;463;1.026;12.690;3.836;524;6.424;1.766;502;626600,00%;207000,00%;5,85%;1;0;1;55000,00%;45200,00%;100200,00%;14.114;5.585;4,84%;68,18%;26,98%;-1,01;5,12;I;I;II;PM_PM;853,722;833,75;364,42;530,565
6;14;ADOLFO GONZALES CHAVES;BUENOS AIRES;6014;12.914;6.304;6.610;15.069;427;357;784;9.413;2.717;382;4.705;1.217;402;470800,00%;150000,00%;6,07%;72,89%;0;1;41700,00%;34900,00%;76600,00%;10.375;3.929;5,08%;68,85%;26,07%;-0,99;5,03;B;I;BI;PM_PM;653,338;638,054;258,115;373,226
6;21;ALBERTI;BUENOS AIRES;6021;12.982;6.272;6.710;15.320;411;337;748;9.162;3.072;361;4.565;1.346;387;459700,00%;172600,00%;5,76%;70,57%;0;1;40100,00%;32900,00%;73100,00%;10.084;4.505;4,77%;65,83%;29,41%;-0,99;5,74;B;I;BI;PM_PM;622,234;607,678;291,84;427,968
6;28;ALMIRANTE BROWN;BUENOS AIRES;6028;584.827;282.277;302.550;668.597;18.588;16.432;35.020;459.776;90.031;17.777;226.583;37.917;17.243;23319300,00%;5211400,00%;5,99%;1;0;1;1815300,00%;1604800,00%;3420100,00%;504.793;129.603;5,12%;75,50%;19,38%;-0,87;3,99;B;B;BB;nini;29332,072;28645,883;8552,945;12312,327
6;77;BARTOLOME MITRE;BUENOS AIRES;6077;32.215;15.481;16.734;37.271;1.209;943;2.152;24.184;5.879;1.066;11.861;2.554;1.086;1232300,00%;332500,00%;6,68%;1;0;1;118100,00%;92100,00%;210200,00%;26.610;8.559;5,64%;71,40%;22,96%;-1,04;4,72;I;I;II;PI_PM;1782,046;1740,357;558,505;813,116
6;35;AVELLANEDA;BUENOS AIRES;6035;367.554;173.733;193.821;428.826;9.641;8.548;18.189;277.785;71.580;9.143;135.537;29.053;9.046;14224800,00%;4252700,00%;4,95%;1;0;1;941500,00%;834800,00%;1776300,00%;307.022;104.041;4,14%;71,60%;24,26%;-0,81;4,79;B;I;BI;PM_PM;15238,854;14882,359;6800,1;9883,92
6;42;AYACUCHO;BUENOS AIRES;6042;21.977;10.729;11.248;25.512;714;616;1.330;16.353;4.294;648;8.186;1.895;682;816700,00%;239900,00%;6,05%;1;0;1;69700,00%;60200,00%;129900,00%;17.958;6.255;5,09%;70,39%;24,52%;-0,96;4,98;B;I;BI;PM_PM;1111,516;1085,513;407,93;594,252
6;49;AZUL;BUENOS AIRES;6049;75.905;36.762;39.143;88.394;2.306;2.054;4.360;56.480;15.065;2.242;28.036;6.484;2.118;2844400,00%;858100,00%;5,74%;1;0;1;225200,00%;200600,00%;425800,00%;62.262;21.873;4,82%;70,44%;24,75%;-0,93;4,9;B;I;BI;PM_PM;3654,364;3568,875;1431,175;2077,976
6;56;BAHIA BLANCA;BUENOS AIRES;6056;336.571;161.488;175.083;391.095;10.102;8.127;18.229;255.133;63.209;9.204;125.610;26.674;9.025;12952300,00%;3653500,00%;5,42%;1;0;1;986600,00%;793700,00%;1780300,00%;281.399;91.894;4,55%;71,95%;23,50%;-0,86;4,72;B;I;BI;PM_PM;15137,788;14783,658;6004,855;8729,883
6;63;BALCARCE;BUENOS AIRES;6063;48.982;23.797;25.185;57.227;1.665;1.301;2.966;35.965;10.051;1.500;17.862;4.435;1.466;1810300,00%;561600,00%;6,06%;1;0;1;162600,00%;127100,00%;289700,00%;39.703;14.628;5,06%;69,38%;25,56%;-0,99;5,04;B;I;BI;PM_PM;2456,51;2399,043;954,845;1389,652
6;70;BARADERO;BUENOS AIRES;6070;40.002;19.581;20.421;46.047;1.531;1.059;2.590;30.528;6.884;1.323;15.237;3.021;1.267;1529100,00%;386300,00%;6,47%;1;0;1;149500,00%;103400,00%;252900,00%;33.521;9.996;5,49%;72,80%;21,71%;-0,98;4,5;B;I;BI;PI_PM;2121,514;2071,884;653,98;949,593
6;84;BENITO JUAREZ;BUENOS AIRES;6084;22.292;11.398;10.894;26.050;692;594;1.286;16.488;4.518;652;8.720;2.026;634;776800,00%;249200,00%;5,77%;1;0;1;67600,00%;58000,00%;125600,00%;18.219;6.575;4,82%;69,94%;25,24%;-0,95;4,97;B;I;BI;PM_PM;1074,248;1049,117;429,21;624,641
6;91;BERAZATEGUI;BUENOS AIRES;6091;358.712;173.376;185.336;410.281;10.971;9.711;20.682;283.141;54.889;10.417;139.257;23.702;10.265;14388400,00%;3118700,00%;5,77%;1;0;1;1071400,00%;948400,00%;2019800,00%;311.339;78.744;4,92%;75,88%;19,19%;-0,84;3,89;B;B;BB;nini;17324,874;16919,579;5214,455;7480,661
6;98;BERISSO;BUENOS AIRES;6098;100.930;48.427;52.503;115.541;3.377;2.872;6.249;78.824;15.857;3.115;38.608;6.704;3.134;4021600,00%;915300,00%;6,19%;1;0;1;329800,00%;280500,00%;610300,00%;86.579;22.859;5,28%;74,93%;19,78%;-0,91;4,07;B;I;BI;ni_PI;5215,638;5093,624;1506,415;2171,602
6;105;BOLIVAR;BUENOS AIRES;6105;37.592;18.063;19.529;44.263;1.243;1.058;2.301;26.705;8.586;1.143;13.242;3.678;1.158;1346300,00%;490800,00%;6,12%;1;0;1;121400,00%;103300,00%;224700,00%;29.456;12.560;5,08%;66,55%;28,38%;-1,04;5,54;I;I;II;PM_PM;1920,642;1875,711;815,67;1193,193
6;112;BRAGADO;BUENOS AIRES;6112;46.504;22.531;23.973;54.574;1.477;1.249;2.726;33.575;10.203;1.418;16.600;4.513;1.308;1697500,00%;569000,00%;5,86%;1;0;1;144200,00%;122000,00%;266200,00%;37.054;14.858;4,88%;67,90%;27,23%;-0,98;5,29;B;I;BI;PM_PM;2274,038;2220,84;969,285;1411,488
6;119;BRANDSEN;BUENOS AIRES;6119;32.448;15.853;16.595;36.996;1.113;955;2.068;25.430;4.950;1.037;12.603;2.213;1.031;1282700,00%;273700,00%;6,37%;1;0;1;108700,00%;93300,00%;202000,00%;27.825;7.151;5,46%;75,21%;19,33%;-0,91;4,07;B;I;BI;PI_PI;1727,422;1687,011;470,25;679,324
6;126;CAMPANA;BUENOS AIRES;6126;110.566;55.394;55.172;126.251;3.497;2.990;6.487;87.629;16.450;3.332;44.679;7.383;3.155;4295000,00%;906700,00%;5,87%;1;0;1;341500,00%;292000,00%;633500,00%;96.212;23.703;5,02%;76,21%;18,77%;-0,85;3,9;B;B;BB;nini;5416,918;5290,196;1562,75;2251,814
6;134;CAÑUELAS;BUENOS AIRES;6134;70.684;34.745;35.939;79.505;2.651;2.308;4.959;56.942;8.783;2.458;28.250;4.037;2.501;2869200,00%;474600,00%;7,02%;1;0;1;258900,00%;225400,00%;484300,00%;62.030;12.632;6,09%;78,02%;15,89%;-0,92;3,46;B;B;BB;PI_PI;4147,794;4050,761;834,385;1200,045
6;140;CAPITAN SARMIENTO;BUENOS AIRES;6140;15.965;7.711;8.254;18.465;556;383;939;12.181;2.845;461;6.000;1.250;478;618100,00%;159500,00%;5,88%;76,30%;0;1;54300,00%;37400,00%;91700,00%;13.403;4.145;4,97%;72,59%;22,45%;-0,92;4,63;B;I;BI;PM_PM;768,864;750,877;270,275;393,77
6;147;CARLOS CASARES;BUENOS AIRES;6147;23.100;11.250;11.850;26.894;752;633;1.385;17.252;4.463;673;8.592;1.985;712;866000,00%;247800,00%;6,00%;1;0;1;73400,00%;61800,00%;135300,00%;19.045;6.497;5,03%;70,81%;24,16%;-0,97;4,84;B;I;BI;PM_PM;1154,888;1127,871;423,985;617,224
6;154;CARLOS TEJEDOR;BUENOS AIRES;6154;14.079;7.000;7.079;16.449;479;400;879;10.255;2.945;467;5.209;1.324;412;504600,00%;162100,00%;6,24%;72,84%;0;1;46800,00%;39100,00%;85800,00%;11.295;4.296;5,22%;68,66%;26,12%;-1,02;5,2;I;I;II;PI_PM;732,426;715,292;279,775;408,119
6;161;CARMEN DE ARECO;BUENOS AIRES;6161;17.499;8.689;8.810;20.159;658;517;1.175;13.233;3.091;606;6.695;1.388;569;653800,00%;170300,00%;6,71%;1;0;1;64300,00%;50500,00%;114800,00%;14.531;4.480;5,69%;72,08%;22,22%;-1,02;4,56;I;I;II;PI_PM;973,652;950,875;293,645;425,593
6;168;CASTELLI;BUENOS AIRES;6168;9.594;4.707;4.887;11.118;344;280;624;7.227;1.743;341;3.578;788;283;364900,00%;95500,00%;6,50%;75,33%;0;1;33600,00%;27300,00%;60900,00%;7.957;2.551;5,48%;71,57%;22,95%;-1,02;4,78;I;I;II;PI_PM;518,736;506,601;165,585;242,363
6;210;CHACABUCO;BUENOS AIRES;6210;52.731;25.529;27.202;61.731;1.583;1.291;2.874;38.924;10.933;1.445;19.361;4.723;1.429;1956300,00%;621000,00%;5,45%;1;0;1;154600,00%;126100,00%;280700,00%;42.994;15.930;4,55%;69,65%;25,81%;-0,9;5,07;B;I;BI;PM_PM;2389,602;2333,7;1038,635;1513,352
6;217;CHASCOMUS;BUENOS AIRES;6217;42.452;20.624;21.828;48.848;1.295;1.237;2.532;32.328;7.592;1.337;15.961;3.326;1.195;1636700,00%;426600,00%;5,96%;1;0;1;126500,00%;120800,00%;247300,00%;35.419;10.957;5,06%;72,51%;22,43%;-0,9;4,55;B;I;BI;PM_PM;2135,73;2085,767;721,24;1040,901
6;224;CHIVILCOY;BUENOS AIRES;6224;70.839;33.846;36.993;82.862;2.174;1.817;3.991;52.132;14.716;2.042;25.585;6.219;1.949;2654700,00%;849700,00%;5,63%;1;0;1;212300,00%;177400,00%;389800,00%;57.565;21.399;4,70%;69,47%;25,82%;-0,93;5,05;B;I;BI;PM_PM;3325,756;3247,954;1398,02;2032,899
6;175;COLON;BUENOS AIRES;6175;27.504;13.365;14.139;31.988;902;759;1.661;20.514;5.329;830;10.171;2.364;831;1034300,00%;296500,00%;6,04%;1;0;1;88100,00%;74100,00%;162200,00%;22.643;7.724;5,07%;70,78%;24,15%;-0,97;4,77;B;I;BI;PM_PM;1384,988;1352,588;506,255;733,748
6;182;CORONEL DE MARINA L. ROSALES;BUENOS AIRES;6182;67.503;32.700;34.803;77.975;2.022;1.738;3.760;51.745;11.998;1.907;25.586;5.207;1.853;2615900,00%;679100,00%;5,57%;1;0;1;197500,00%;169700,00%;367200,00%;56.898;17.405;4,71%;72,97%;22,32%;-0,86;4,55;B;I;BI;PM_PM;3141,268;3067,782;1139,81;1653,443
6;189;CORONEL DORREGO;BUENOS AIRES;6189;15.968;7.764;8.204;18.899;499;426;925;11.240;3.803;443;5.599;1.722;482;564100,00%;208100,00%;5,79%;70,39%;0;1;48700,00%;41600,00%;90300,00%;12.435;5.560;4,78%;65,80%;29,42%;-1,01;5,6;I;I;II;PM_PM;772,306;754,239;361,285;528,213
6;196;CORONEL PRINGLES;BUENOS AIRES;6196;24.420;11.710;12.710;28.630;816;700;1.516;17.580;5.324;745;8.646;2.319;771;893400,00%;300500,00%;6,21%;1;0;1;79700,00%;68400,00%;148100,00%;19.403;7.746;5,17%;67,77%;27,06%;-1,04;5,25;I;I;II;PI_PM;1266,304;1236,68;505,78;735,856
6;203;CORONEL SUAREZ;BUENOS AIRES;6203;42.110;20.456;21.654;49.505;1.309;1.032;2.341;30.671;9.098;1.238;15.170;4.048;1.103;1550100,00%;505000,00%;5,56%;1;0;1;127800,00%;100800,00%;228600,00%;33.960;13.259;4,62%;68,60%;26,78%;-0,94;5,18;B;I;BI;PM_PM;1940,446;1895,052;864,31;1259,642
6;231;DAIREAUX;BUENOS AIRES;6231;18.422;9.025;9.397;21.405;605;527;1.132;13.650;3.640;600;6.734;1.691;532;691600,00%;194900,00%;6,14%;1;0;1;59100,00%;51500,00%;110600,00%;15.028;5.272;5,16%;70,20%;24,63%;-0,98;4,87;B;I;BI;PM_PI;946,87;924,719;345,8;500,878
6;238;DOLORES;BUENOS AIRES;6238;32.032;15.686;16.346;37.175;1.171;904;2.075;23.965;5.992;1.098;12.048;2.540;977;1191700,00%;345200,00%;6,48%;1;0;1;114400,00%;88300,00%;202600,00%;26.415;8.733;5,45%;71,06%;23,49%;-1,03;4,79;I;I;II;PI_PM;1716,674;1676,514;569,24;829,617
6;245;ENSENADA;BUENOS AIRES;6245;63.997;30.992;33.005;72.989;2.057;1.844;3.901;50.077;10.019;1.911;24.718;4.363;1.990;2535900,00%;565600,00%;6,10%;1;0;1;200900,00%;180100,00%;381000,00%;54.800;14.379;5,22%;75,08%;19,70%;-0,88;4,04;B;I;BI;ni_PI;3271,558;3195,024;951,805;1366,007
6;252;ESCOBAR;BUENOS AIRES;6252;256.266;125.794;130.472;289.439;9.607;7.981;17.588;205.878;32.800;9.097;101.826;14.871;8.491;10405200,00%;1792900,00%;6,86%;1;0;1;938200,00%;779400,00%;1717700,00%;225.383;46.879;5,93%;77,87%;16,20%;-0,93;3,4;B;B;BB;PI_PI;14648,258;14305,58;3116;4453,552
6;260;ESTEBAN ECHEVERRIA;BUENOS AIRES;6260;338.477;164.013;174.464;383.477;12.190;10.135;22.325;270.817;45.335;11.205;133.001;19.807;11.120;13781600,00%;2552800,00%;6,60%;1;0;1;1190500,00%;989800,00%;2180300,00%;296.577;65.098;5,69%;77,34%;16,98%;-0,91;3,58;B;B;BB;PI_PI;18594,86;18159,856;4306,825;6184,267
6;266;EXALTACION DE LA CRUZ;BUENOS AIRES;6266;40.159;19.874;20.285;45.663;1.508;1.264;2.772;31.568;5.819;1.393;15.711;2.770;1.379;1585700,00%;304900,00%;6,90%;1;0;1;147300,00%;123400,00%;270700,00%;34.600;8.355;5,93%;75,77%;18,30%;-0,97;3,81;B;B;BB;PI_PI;2310,552;2256,499;552,805;793,767
6;270;EZEIZA;BUENOS AIRES;6270;201.511;99.169;102.342;225.809;7.341;6.433;13.774;165.560;22.177;6.955;82.322;9.892;6.819;8323800,00%;1228500,00%;6,84%;1;0;1;716900,00%;628300,00%;1345200,00%;180.636;31.721;5,96%;79,99%;14,05%;-0,88;3,04;B;B;BB;PI_PI;11527,654;11257,978;2106,815;3013,541
6;274;FLORENCIO VARELA;BUENOS AIRES;6274;496.430;246.549;249.881;556.143;19.989;16.216;36.205;404.318;55.907;18.283;203.677;24.589;17.922;20064100,00%;3131800,00%;7,29%;1;0;1;1952100,00%;1583700,00%;3535800,00%;440.955;79.830;6,36%;79,29%;14,35%;-0,94;3,09;B;B;BB;PI_PI;30088,366;29384,485;5311,165;7583,87
6;277;FLORENTINO AMEGHINO;BUENOS AIRES;6277;10.790;5.306;5.484;12.450;406;320;726;8.074;1.990;393;3.979;934;333;409500,00%;105600,00%;6,73%;74,83%;0;1;39700,00%;31300,00%;70900,00%;8.868;2.873;5,69%;71,23%;23,08%;-1,03;4,64;I;I;II;PI_PM;601,764;587,686;189,05;272,97
6;280;GENERAL ALVARADO;BUENOS AIRES;6280;45.526;22.082;23.444;52.955;1.629;1.278;2.907;33.474;9.145;1.520;16.462;4.100;1.387;1701200,00%;504500,00%;6,39%;1;0;1;159100,00%;124800,00%;283900,00%;36.863;13.253;5,36%;69,61%;25,03%;-1,02;4,94;I;I;II;PI_PM;2408,526;2352,181;868,775;1259,05
6;287;GENERAL ALVEAR;BUENOS AIRES;6287;13.031;7.684;5.347;15.050;331;291;622;10.400;2.009;327;6.442;915;295;395800,00%;109400,00%;4,77%;79,81%;0;1;32300,00%;28400,00%;60700,00%;11.534;2.908;4,04%;76,64%;19,32%;-0,74;3,91;B;B;BB;nini;520,714;508,533;190,855;276,256
6;294;GENERAL ARENALES;BUENOS AIRES;6294;16.350;7.970;8.380;19.329;557;420;977;11.617;3.756;501;5.794;1.675;476;582300,00%;208100,00%;5,98%;71,05%;0;1;54400,00%;41000,00%;95400,00%;12.866;5.509;4,94%;66,56%;28,50%;-1,04;5,53;I;I;II;PM_PM;806,558;787,69;356,82;523,314
6;301;GENERAL BELGRANO;BUENOS AIRES;6301;20.791;10.015;10.776;24.201;720;603;1.323;15.205;4.263;643;7.535;1.837;680;767000,00%;242600,00%;6,36%;1;0;1;70300,00%;58900,00%;129200,00%;16.711;6.198;5,34%;69,05%;25,61%;-1,02;5,1;I;I;II;PI_PM;1102,68;1076,884;404,985;588,769
6;308;GENERAL GUIDO;BUENOS AIRES;6308;3.174;1.584;1.590;3.730;99;91;190;2.301;683;101;1.176;307;89;112500,00%;37600,00%;5,99%;72,50%;0;1;9700,00%;8900,00%;18600,00%;2.537;1.008;4,97%;68,01%;27,02%;-1,01;5,5;I;I;II;PM_PM;159,706;155,97;64,885;95,733
