Provincia;codprov_censo;quinquenio;cantidad22;varones22;mujeres22;cantidad40;varones40;mujeres40;variacion;var_mujeres;var_varones
02-CABA;02;0-4;200418;103172;97246;173804;89509;84295;0,867207536;0,866822286;0,867570659
02-CABA;02;5-9;200433;103075;97358;168990;86970;82020;0,843124635;0,842457733;0,843754548
02-CABA;02;10-14;196543;100958;95585;168595;86626;81969;0,857802109;0,857550871;0,858039977
02-CABA;02;15-19;197946;100887;97059;175486;89895;85591;0,886534711;0,881845063;0,891046418
02-CABA;02;20-24;190018;95190;94828;188789;96054;92735;0,993532192;0,97792846;1,009076584
02-CABA;02;25-29;207030;102083;104947;199383;100988;98395;0,963063324;0,937568487;0,989273434
02-CABA;02;30-34;221227;108103;113124;200528;101624;98904;0,906435471;0,874297231;0,940066418
02-CABA;02;35-39;229972;112052;117920;188850;95155;93695;0,821186927;0,794564111;0,849203941
02-CABA;02;40-44;223077;108142;114935;177742;88052;89690;0,796774208;0,780354113;0,81422574
02-CABA;02;45-49;211216;101106;110110;185489;90166;95323;0,878195781;0,86570702;0,891796728
02-CABA;02;50-54;179465;84138;95327;202600;97084;105516;1,12891093;1,106884723;1,153866267
02-CABA;02;55-59;156995;71654;85341;200896;95148;105748;1,279633109;1,239123048;1,327881207
02-CABA;02;60-64;151839;66816;85023;194614;90755;103859;1,281712867;1,221540054;1,358282447
02-CABA;02;65-69;140629;59348;81281;170427;76884;93543;1,211890862;1,150859364;1,295477522
02-CABA;02;70-74;123478;49474;74004;131599;56413;75186;1,065768801;1,01597211;1,140255488
02-CABA;02;75-79;100577;37483;63094;109922;43784;66138;1,092913887;1,048245475;1,168102873
02-CABA;02;80-84;71620;24245;47375;90168;32572;57596;1,258977939;1,215746702;1,343452258
02-CABA;02;85-89;43697;13248;30449;61378;19818;41560;1,40462732;1,364905251;1,495923913
02-CABA;02;90-94;24011;6379;17632;34858;9894;24964;1,451751281;1,415834846;1,551026807
02-CABA;02;95-99;9253;2189;7064;14441;3576;10865;1,560683022;1,538080408;1,633622659
02-CABA;02;100 y más;2106;437;1669;5145;1102;4043;2,443019943;2,422408628;2,52173913
06-BUENOS AIRES;06;0-4;1399003;720288;678715;1366275;703633;662642;0,976606197;0,976318484;0,976877305
06-BUENOS AIRES;06;5-9;1447502;744710;702792;1366674;703379;663295;0,944160353;0,943799873;0,944500544
06-BUENOS AIRES;06;10-14;1435021;739165;695856;1370099;704925;665174;0,95475885;0,955907544;0,95367746
06-BUENOS AIRES;06;15-19;1333655;684298;649357;1390595;715008;675587;1,0426947;1,040393805;1,044878109
06-BUENOS AIRES;06;20-24;1297883;661069;636814;1438480;738431;700049;1,108327946;1,09929901;1,117025605
06-BUENOS AIRES;06;25-29;1309360;661561;647799;1495570;767028;728542;1,142214517;1,124642057;1,159421429
06-BUENOS AIRES;06;30-34;1321978;663732;658246;1410669;723888;686781;1,067089619;1,043350055;1,090632966
06-BUENOS AIRES;06;35-39;1237848;617847;620001;1341518;683332;658186;1,083750186;1,06158861;1,105989023
06-BUENOS AIRES;06;40-44;1208930;598552;610378;1296897;655344;641553;1,072764345;1,051074908;1,094882316
